web-scraper-order,job_name,company_name,job_exp,job_salary,company_address,job_domain,job_working_hour,working_address,skills,hiring_amount
1751525384-61,Chuyên Viên Phân Tích Nghiệp Vụ (Odoo),Công ty Cổ phần Tập đoàn Karofi,3 năm,25 - 35 triệu,"Tòa Hudland Towers, số 06 Nguyễn Hữu Thọ, Hoàng Mai, Hà Nội",Bán lẻ - Hàng tiêu dùng - FMCG,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:48)","117 Trần Duy Hưng - Tòa Charmvit Tower - Cầu Giấy, Cầu Giấy","Phân Tích Nghiệp Vụ
                                    Thiết Kế Quy Trình Nghiệp Vụ
                                    Hiểu Biết Về Odoo
                                    Triển Khai Odoo
                                    Cấu Hình Odoo",1 người
1751525391-62,Business Analyst,Công ty Cổ Phần Chuỗi Nhà Hàng SVN,2 năm,20 - 25 triệu,"Tầng 2, Tòa G5 - Five Star Garden, Số 460 Khương Đình, Thanh Xuân, Hà Nội",Nhà hàng / Khách sạn,"Thời gian làm việc
                        
                                                            từ 9h00-18h00 hoặc 8h30-17h30, nghỉ CN và 02 thứ 7/tháng","Tầng 2, Tòa nhà Fivestar, số 2 Kim Giang, Thanh Xuân, Hà Nội, Thanh Xuân","phân tích yêu cầu
                                    Mô Hình Hóa Dữ Liệu
                                    Soạn Thảo Tài Liệu
                                    Quản Lý Dự Án
                                    Giao tiếp hiệu quả",1 người
1751525397-63,Business Analyst (EN Fluent),Công ty Cổ phẩn Lotus Quality Assurance,3 năm,20 - 40 triệu,"Tầng 14 -17 , toà nhà văn phòng MD Complex, 68 Nguyễn Cơ Thạch, KĐT Mỹ Đình I, P. Cầu Diễn, Q. Nam Từ Liêm, Thành phố Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)","Tầng 14 -17 , toà nhà văn phòng MD Complex, 68 Nguyễn Cơ Thạch, KĐT Mỹ Đình I, P. Cầu Diễn, Nam Từ Liêm","Data Analysis
                                    Analytical Skills
                                    Problem Solving Skills
                                    Documentation
                                    Requirement Elicitation",3 người
1751525404-64,(Business Analyst - BA),CÔNG TY CỔ PHẦN CHỨNG KHOÁN LPBANK,2 năm,25 - 30 triệu,Tầng 3 - Cao ốc văn phòng - Số 43-45-47 Nguyễn Thị Minh Khai - Phường Bến Nghé - Quận 1 - TP. Hồ Chí Minh,Chứng khoán,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)","17 Tông Đản, Hoàn Kiếm",,5 người
1751525411-65,Phân Tích Nghiệp Vụ (Kế Toán - Kiểm Toán),CÔNG TY CỔ PHẦN CÔNG NGHỆ SICIX,2 năm,17 - 22 triệu,"Chung cư học viện bộ Quốc phòng, Xuân La, Tây Hồ, Hà Nội.",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","Tháp Tây, Chung cư học viện bộ Quốc phòng, Xuân La, Tây Hồ","Quản Lý Dự Án
                                    phân tích yêu cầu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả",1 người
1751525417-66,Chuyên Viên Phân Tích Nghiệp Vụ - Business Analyst,Công ty Cổ phần Giải pháp Phần mềm Biplus Việt Nam,4 năm,Thoả thuận,"Số 85 Trần Thái Tông, Cầu Giấy, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:30)","Số 85 - Trần Thái Tông, Cầu Giấy",Phân Tích Nghiệp Vụ,2 người
1751525424-67,Business Analyst ERP (Functional Consultant),NHÀ SÁCH TIẾN THỌ,2 năm,15 - 25 triệu,"424 Nguyễn Trãi, Thanh Xuân, Hà Nội",In ấn / Xuất bản,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Thứ 7 (từ 08:00 đến 12:00)","Số 424 Nguyễn Trãi, Thanh Xuân","Phân Tích Nghiệp Vụ
                                    Viết tài liệu
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Quản Lý Dự Án Nhỏ
                                    Thiết Kế Quy Trình",1 người
1751525431-68,Business Analyst,CÔNG TY CỔ PHẦN PHẦN MỀM NOBI VIỆT NAM,2 năm,15 - 25 triệu,"Số nhà 81A, Ngõ 44, Phố Trần Thái Tông, Phường Dịch Vọng Hậu, Quận Cầu Giấy, Thành phố Hà Nội, Việt Nam",Internet / Online,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)",Hà Nội,"phân tích yêu cầu
                                    Mô Hình Hóa Dữ Liệu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Quản Lý Dự Án",2 người
1751525437-69,Business Analyst (Fluent In English),"TECHVIFY SOFTWARE., JSC",2 năm,12 - 25 triệu,"HEADQUARTER: HUDTOWER Building, 37 Le Van Luong Str, Thanh Xuan Dist, Hanoi",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","Tòa nhà Thành Đông, Ngõ 19 Tố Hữu, Trung Văn, Nam Từ Liêm","Phân Tích Nghiệp Vụ
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Xây Dựng Mô Hình Nghiệp Vụ
                                    Viết Báo Cáo
                                    Trình Bày Ý Tưởng",1 người
1751525444-70,Nhân Viên BA (Business Analyst). Thu Nhập 13 Triệu Đến 25 Triệu,Công ty Cổ phần Đầu tư Phát triển Công nghệ và Truyền thông,3 năm,13 - 25 triệu,"Tầng 2, CT2 Tràng An Complex, số 1 Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy, Hà nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2-6 nghỉ thứ 7, CN","CT2 Tràng An Complex, số 1 Phùng Chí Kiên, Nghĩa Đô, Cầu Giấy, Cầu Giấy","Kỹ năng giao tiếp
                                    Phân tích dữ liệu
                                    Viết tài liệu
                                    Kỹ Năng Trình Bày
                                    Phân Tích Yêu Cầu Nghiệp Vụ",3 người
1751525451-71,Business Analyst Lương Upto 30M Tại Hà Nội,CÔNG TY CỔ PHẦN KALAPA,3 năm,12 - 30 triệu,"Tầng 2, A1-A3 Toà nhà Ecolife, số 58 Tố Hữu, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Tài chính,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 09:30 đến 18:00)","Tầng 2, toà nhà Ecolife, số 58 Tố Hữu, P.Mễ Trì, Nam Từ Liêm",,1 người
1751525457-72,Business Analyst (BA),CÔNG TY CỔ PHẦN TẬP ĐOÀN G-SUN GROUP,5 năm,40 - 50 triệu,"Số 62, Ngách 46, Ngõ Linh Quang, Phố Khâm Thiên, Phường Văn Chương, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)
                                                            Thứ 2 đến thứ 6 8h30-17h30

Nghỉ trưa: 12h-13h","232 Bà Triệu, Lê Đại Hàn, Hai Bà Trưng","Quản Lý Dự Án
                                    phân tích yêu cầu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Mô Hình Hóa Dữ Liệu",1 người
1751525464-73,Senior Business Analyst,Công ty Cổ Phần Rikkeisoft,Trên 5 năm,Thoả thuận,"Tầng 21, tòa nhà Handico, đường Phạm Hùng, khu đô thị mới Mễ Trì Hạ, P.Mễ Trì, Quận Nam Từ Liêm, TP.Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Đăng ký linh hoạt 8:00 - 9:00 đến 17:00 - 18:00 từ Thứ 2 - Thứ 6","tòa Vinacomin Dương Đình Nghệ, Cầu Giấy",,1 người
1751525471-74,Business Analyst Domain Tài Chính,TỔNG CÔNG TY CỔ PHẦN BƯU CHÍNH VIETTEL,2 năm,15 - 45 triệu,"Tòa ViettelPost, Số 2, Ngõ 15, Duy Tân, Dịch Vọng Hậu, Cầu Giấy, Hà Nội",IT - Phần mềm,"Cách thức ứng tuyển
                    
                                                                                                            Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây.","Tòa nhà Viettel Post, số 2 ngõ 15 duy tân, Cầu Giấy","SQL
                                    Phân tích dữ liệu
                                    Kế Toán
                                    Quản Lý Ngân Sách
                                    Kế Toán Dự Án",1 người
1751525477-75,Business Analyst SAP,Công ty TNHH Giải pháp Phân tích dữ liệu Insight Data,2 năm,25 - 35 triệu,"Tầng 5, Tòa A, 47 Nguyễn Tuân, Thanh xuân, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","19 Vũ Trọng Phụng, Thanh Xuân, Thanh Xuân","Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Thiết Kế Quy Trình
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Viết tài liệu",2 người
1751525484-76,Business Analyst (Middle/Senior),Công ty cổ phần đầu tư NBG HIGHTECH,3 năm,20 - 35 triệu,"Tầng 19, tòa MD Complex, Mỹ Đình, Nam Từ Liêm, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 09:00 đến 18:00)","Tòa MD Complex, 68 Nguyễn Cơ Thạch, Mỹ Đình 1, Nam Từ Liêm","Phân Tích Nghiệp Vụ
                                    Mô Hình Hóa Dữ Liệu
                                    Quản Lý Yêu Cầu
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Viết Tài Liệu (sor, Use Case, User Story)",1 người
1751525491-77,"Business Analyst (BA, Thu Nhập 18 - 30 Triệu/Tháng)",CÔNG TY TNHH DỊCH VỤ PHẦN MỀM HUMAN OFFSHORE PARTNERS,2 năm,18 - 30 triệu,"Số nhà V1-A02, Lô đất TTDV 01, Khu đô thị mới An Hưng , Phường Dương Nội, Quận Hà Đông, Thành phố Hà Nội, Việt Nam",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","1- A02 Khu đô thị mới An Hưng, Dương Nội, Hà Đông","Quản Lý Dự Án
                                    phân tích yêu cầu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Mô Hình Hóa Dữ Liệu",2 người
1751525498-78,Chuyên Viên Business Analyst Thu Nhập Upto 20M Tại Hà Nội,CÔNG TY CỔ PHẦN GIÁO DỤC LOGIC LAB,1 năm,13 - 20 triệu,"Lô B1.1, số 2 đường Đặng Thai Mai, Phường Quảng An, Quận Tây Hồ, Thành phố Hà Nội, Việt Nam",Giáo dục / Đào tạo,"Thời gian làm việc
                        
                                                            Từ T2- sáng T7

9h-18h/8h-17h","59 Xuân Diệu, Tây Hồ, Tây Hồ","Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Kỹ Năng Giao Tiếp Và Thuyết Trình
                                    Phân Tích Yêu Cầu Nghiệp Vụ
                                    Viết Tài Liệu (soạn Thảo Báo Cáo, Tài Liệu Yêu Cầu)",1 người
1751525504-79,Middle Business Analyst,Công ty Cổ phần Đầu tư và Phát triển Koolsoft,3 năm,20 - 30 triệu,"Tầng 3, Lô NT KĐT Phùng Khoang, Phường Trung Văn, Nam Từ Liêm, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 18:00)","Khu Văn phòng Trường mầm non Thành Đông, Khu đô thị mới Phùng Khoang, Phường Trung Văn, Nam Từ Liêm","Phân Tích Nghiệp Vụ
                                    Viết tài liệu
                                    Mô Hình Hóa Dữ Liệu
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Trình Bày Và Thuyết Trình",1 người
1751525511-80,System Analyst/Business Analyst Expert - TA171,Ngân Hàng TMCP Việt Nam Thịnh Vượng (VPBank),5 năm,Thoả thuận,"89 Láng Hạ, Đống Đa, Hà Nội",Ngân hàng,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            từ thứ 2 – thứ 6 & 2 sáng thứ 7/tháng","89 Láng Hạ, Đống Đa","Quản Lý Dự Án
                                    Phân Tích Nghiệp Vụ
                                    Core Card
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Viết Tài Liệu Kỹ Thuật",1 người
1751525518-81,Product Business Analyst,Galaxy Education Joint Stock Company,2 năm,15 - 22 triệu,"Tòa nhà Giày Việt, số 180-182 Lý Chính Thắng, Phường 09, Quận 03",Giáo dục / Đào tạo,"Thời gian làm việc
                        
                                                            - Từ thứ 2 đến thứ 6 và 2 ngày thứ 7 cách tuần (8h30 - 18h00)","Tòa nhà 25T2 Nguyễn Thị Thập, Trung Hòa, Cầu Giấy","Làm việc nhóm
                                    Quản Lý Dự Án
                                    phân tích yêu cầu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả",1 người
1751525525-82,Trưởng Nhóm Business Analyst (BA),Công ty TNHH TM Thiên Thủy Mộc,2 năm,15 - 23 triệu,"Tòa nhà VMT, ngõ 82 Duy Tân, Cầu Giấy, Hà Nội",Khác,"Cách thức ứng tuyển
                    
                                                                                                            Ứng viên nộp hồ sơ trực tuyến bằng cách bấm Ứng tuyển ngay dưới đây.","82 Duy Tân, Cầu Giấy","Phân Tích Nghiệp Vụ
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Mô Hình Hóa Dữ Liệu
                                    Viết Tài Liệu (srs, Use Case, User Story)
                                    Quản Lý Yêu Cầu",1 người
1751525531-83,Business Analyst,CÔNG TY CỔ PHẦN GIẢI PHÁP THÔNG MINH LINKCARE,3 năm,18 - 25 triệu,"Số 20, ngách 241/61 Ngõ Chợ Khâm Thiên, Phường Phương Liên, Quận Đống Đa, Thành phố Hà Nội, Việt Nam",Tư vấn,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)
                                                            - Thứ 2 - Thứ 6: 8h30 - 17h30

- 2 sáng thứ 7/ tháng (sáng thứ 7 đầu tiên và thứ 7 cuối cùng)","số 138B, Giảng Võ, Ba Đình, Ba Đình","Quản Lý Dự Án
                                    phân tích yêu cầu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Mô Hình Hóa Dữ Liệu",1 người
1751525538-84,Nhân Viên Phân Tích Nghiệp Vụ (BA) - Fulltime - Lương Lên Đến 20 Triệu/Tháng,Công ty Cổ phần The First One,2 năm,10 - 20 triệu,"Tầng 9 tòa Suced, số 108 Nguyễn Hoàng, Nam Từ Liêm, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)
                                                            Giờ làm việc linh hoạt

Nghỉ Thứ Bảy, Chủ Nhật","Tòa nhà Suced, số 108 đường Nguyễn Hoàng, Mỹ Đình 2, Nam Từ Liêm","Làm việc nhóm
                                    Phân Tích Nghiệp Vụ
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Thu Thập Và Phân Tích Yêu Cầu",1 người
1751525545-85,Business Analyst (ERP),Công ty TNHH Infoplus,3 năm,Tới 35 triệu,"18 Tôn Thất Thuyết, Nam Từ Liêm Hà Nội - 163 Nguyễn Văn Trỗi, Phú Nhuận, HCM",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","18 Tôn Thất Thuyết, Nam Từ Liêm","Quản Lý Dự Án
                                    phân tích yêu cầu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Mô Hình Hóa Dữ Liệu",1 người
1751525551-86,Chuyên Viên Phân Tích Nghiệp Vụ BA,Công Ty Cổ Phần Công Nghiệp Weldcom,2 năm,0.0 - 0.0 triệu,"285a Ngô Gia Tự, Long Biên, Hà Nội",Bán lẻ - Hàng tiêu dùng - FMCG,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Thứ 7 (từ 08:00 đến 12:00)","285a Ngô Gia Tự, Long Biên, Long Biên","Làm việc nhóm
                                    Phân Tích Nghiệp Vụ
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Thu Thập Và Phân Tích Yêu Cầu",2 người
1751525558-87,Business Analyst,"TECHVIFY SOFTWARE., JSC",3 năm,Tới 40 triệu,"HEADQUARTER: HUDTOWER Building, 37 Le Van Luong Str, Thanh Xuan Dist, Hanoi",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","tòa HUD Lê Văn Lương, Thanh Xuân","phân tích yêu cầu
                                    Mô Hình Hóa Dữ Liệu
                                    Viết tài liệu
                                    Giao tiếp hiệu quả
                                    Quản Lý Dự Án",1 người
1751525565-88,Senior Business Analyst/PO,FPT IS,5 năm,Thoả thuận,"Tầng 22 toà nhà Keangnam Landmark 72, E6 Phạm Hùng, Nam Từ Liêm, Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:30 đến 17:30)","Tầng 8 - Landmark72 - Phạm Hùng, Nam Từ Liêm","Phân Tích Nghiệp Vụ
                                    Quản Lý Yêu Cầu
                                    Thu Thập Và Phân Tích Yêu Cầu
                                    Lập Kế Hoạch Và Quản Lý Dự Án
                                    Viết Tài Liệu (user Story, Use Case, Srs)",1 người
1751525572-89,"Chuyên Viên Phân Tích Nghiệp Vụ (Business Analyst, Thu Nhập 10 - 20 Triệu)",Công ty Cổ phần đầu tư và phát triển Kztek,1 năm,10 - 20 triệu,"Tầng 3, tòa nhà CT2, KĐT Dream Town - Q. Nam Từ Liêm - TP. Hà Nội",IT - Phần mềm,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 17:00)
                                                            Thứ 7 (từ 08:00 đến 12:00)","T1, CT2-3, Chung cư Dream Town, Tây Mỗ, Nam Từ Liêm","Phân tích dữ liệu
                                    Lập Kế Hoạch
                                    Giao tiếp hiệu quả
                                    Xây Dựng Chiến Lược
                                    Kỹ Năng Trình Bày",3 người
1751525598-90,"Business Analyst (Edtech, F&B)",CÔNG TY CỔ PHẦN AUTHENTIC EDUCATION HUB,Trên 5 năm,25 - 35 triệu,"5 BT2, Khu đô thị Mễ Trì Hạ, Phường Mễ Trì, Quận Nam Từ Liêm, Thành phố Hà Nội, Việt Nam",Giáo dục / Đào tạo,"Thời gian làm việc
                        
                                                            Thứ 2 - Thứ 6 (từ 08:00 đến 18:00)
                                                            Nghỉ trưa 1 tiếng 15p","Số 5 BT2, Khu đô thị Mễ Trì Hạ, phường Mễ Trì, Nam Từ Liêm","Viết Báo Cáo
                                    Phân Tích Nghiệp Vụ
                                    Thu Thập Và Phân Tích Dữ Liệu
                                    Xây Dựng Mô Hình Dữ Liệu",1 người
